 framenumber,eulers.phi, eulers.theta, eulers.psi, euler_rates.phi_dot, euler_rates.theta_dot, euler_rates.psi_dot, rates.X, rates.Y, rates.Z, accels.X, accels.Y, accels.Z,sin
1,0.17349,-0.0826371,0.203485,-0.0345992,0.00285581,0.0298465,-0.0321355,0.00794749,0.0288051,0.0950639,-0.00539517,1.0271,-0.015925863
2,0.173146,-0.0825744,0.203788,-0.0342364,0.00625265,0.0301402,-0.0317504,0.0113341,0.0285112,0.0937871,-0.0031241,1.02075,-0.031847686
3,0.172865,-0.082587,0.204077,-0.0281043,-0.00125598,0.028806,-0.025728,0.00370063,0.028496,0.0995353,0.00493415,0.996727,-0.04776143
4,0.172618,-0.0825587,0.204389,-0.0242485,0.00279424,0.0307024,-0.0217166,0.00800825,0.0296632,0.100971,-0.00628274,0.99908,-0.063663061
5,0.172386,-0.0825579,0.20469,-0.0232838,8.67E-05,0.0301793,-0.0207951,0.00524456,0.0296158,0.0981402,-0.00489301,1.01254,-0.079548543
6,0.172145,-0.0825778,0.204974,-0.0241788,-0.00198228,0.028454,-0.0218318,0.00290446,0.0282775,0.0928127,-0.00432402,1.01159,-0.095413848
7,0.171864,-0.0826078,0.205256,-0.0274858,-0.00293372,0.0276845,-0.0252014,0.00182793,0.0276853,0.0913258,-0.00887064,1.01504,-0.111254951
8,0.171543,-0.0825743,0.205523,-0.0323304,0.00338478,0.0269055,-0.0301112,0.00791231,0.0258425,0.104633,-0.00605951,1.02812,-0.127067834
9,0.171209,-0.0826028,0.205787,-0.0326325,-0.00277305,0.0257795,-0.0305055,0.00164468,0.0257885,0.0893184,-0.00220843,1.01793,-0.142848487
10,0.170893,-0.0826013,0.206048,-0.0317327,0.000156536,0.0261163,-0.0295779,0.00458052,0.0256215,0.0927786,-0.00277822,1.01462,-0.158592906
11,0.170587,-0.0824963,0.206334,-0.0306021,0.0105152,0.028714,-0.028236,0.0152205,0.0264159,0.100843,-0.00332925,1.01716,-0.174297098
12,0.170307,-0.08248,0.206601,-0.0280023,0.00163123,0.0266452,-0.0258071,0.00610823,0.025894,0.0958763,-0.00964709,1.00688,-0.18995708
13,0.170005,-0.082502,0.206879,-0.0299683,-0.00217922,0.0276211,-0.0276921,0.00250944,0.027499,0.0976249,-0.0174316,1.00846,-0.20556888
14,0.16965,-0.082475,0.20717,-0.0352002,0.00269269,0.0288634,-0.0328224,0.0075107,0.0278977,0.0940471,-0.0185433,1.02705,-0.221128537
15,0.169265,-0.0824245,0.207483,-0.038493,0.00505511,0.0312699,-0.0359185,0.0102327,0.0298668,0.0942182,-0.0233428,1.04103,-0.236632105
16,0.168891,-0.082391,0.207797,-0.0372589,0.00335028,0.031338,-0.0346798,0.00855233,0.0302241,0.0936659,-0.00795636,1.02865,-0.252075652
17,0.16854,-0.0822959,0.208136,-0.0349723,0.00946403,0.0336656,-0.0322048,0.014958,0.0314888,0.104106,-0.01186,1.01865,-0.26745526
18,0.168249,-0.0822909,0.208477,-0.0288879,0.00051444,0.0339383,-0.0260983,0.00617114,0.0332597,0.100106,-0.0105574,1.01678,-0.282767028
19,0.168023,-0.0823757,0.208822,-0.0224797,-0.00841972,0.0343438,-0.0196538,-0.00257717,0.0351534,0.0982655,-0.00754196,1.0037,-0.298007072
20,0.167791,-0.0823346,0.209196,-0.0228658,0.0040462,0.0367386,-0.0198443,0.0101041,0.0354242,0.0962818,-0.00926807,1.02535,-0.313171527
21,0.167537,-0.0822995,0.209548,-0.0255159,0.00353654,0.035375,-0.0226079,0.00936599,0.0341719,0.100855,-0.0107446,1.03484,-0.328256546
22,0.167241,-0.0823248,0.209892,-0.0295079,-0.00250529,0.0342349,-0.0266928,0.00320918,0.03406,0.0912917,-0.0119185,1.03778,-0.343258304
23,0.166903,-0.0822606,0.210241,-0.0330827,0.00630098,0.0342184,-0.030271,0.0118789,0.032582,0.097473,-0.00638803,1.04744,-0.358172994
24,0.16658,-0.0821887,0.210582,-0.0326417,0.00728779,0.0345003,-0.0298094,0.0128881,0.0326995,0.0962327,-0.00111517,1.03614,-0.372996834
25,0.166295,-0.0822014,0.210899,-0.0283723,-0.00126056,0.0316127,-0.0257766,0.00397201,0.03128,0.0995238,0.00191626,1.01599,-0.387726064
26,0.166023,-0.0821093,0.211251,-0.0272661,0.00920666,0.0351284,-0.024385,0.0148659,0.0330071,0.100807,-0.00869003,1.02359,-0.402356947
27,0.165731,-0.0820514,0.211602,-0.0289343,0.00574501,0.0348323,-0.0260795,0.0113933,0.0332916,0.0982544,-0.0105328,1.03137,-0.416885772
28,0.165432,-0.082024,0.211946,-0.0297697,0.002755,0.034314,-0.0269583,0.00834917,0.033278,0.0918557,-0.0109426,1.02347,-0.431308855
29,0.165108,-0.0820232,0.212297,-0.0322512,7.94E-05,0.0349353,-0.0293889,0.00580098,0.0343313,0.0972852,-0.0160068,1.03233,-0.445622537
30,0.164749,-0.0820058,0.212657,-0.0356999,0.00174746,0.0358117,-0.0327664,0.00757736,0.0349215,0.110003,-0.0181473,1.04361,-0.459823187
31,0.164401,-0.0819989,0.213027,-0.0347809,0.000700359,0.0368921,-0.0317591,0.00670843,0.0361577,0.094152,-0.00965721,1.03828,-0.473907203
32,0.164096,-0.0819888,0.213404,-0.0303635,0.00101963,0.0375638,-0.0272871,0.00712177,0.0367681,0.104961,-0.0062479,1.02951,-0.487871013
33,0.163844,-0.0819221,0.213801,-0.0250552,0.00664071,0.0395395,-0.0218196,0.0129795,0.0377959,0.105548,-0.00736594,1.03416,-0.501711075
34,0.16363,-0.0819069,0.214177,-0.0212362,0.00151984,0.0373071,-0.0181839,0.00755653,0.0364377,0.100876,-0.0071298,1.02677,-0.515423879
